                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.5687,                0.94076,                 1.3261,                 0.9019,                 0.8576,                0.90959,                0.51628,                 1.5143,                0.78414,                 1.3816,               0.007228,               0.007228,               0.007228
                     58,                  1.551,                0.90141,                 1.2997,                0.89021,                0.84673,                0.90322,                0.50882,                 1.5142,                0.79349,                 1.3853,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.5625,                0.91201,                 1.3182,                0.88932,                0.85603,                0.89192,                0.50365,                 1.4987,                0.82197,                 1.3976,               0.007129,               0.007129,               0.007129
                     60,                 1.5617,                0.91545,                 1.3201,                0.88902,                0.87585,                 0.8978,                0.51171,                 1.4923,                0.81378,                 1.3746,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.524,                0.87856,                 1.2895,                 0.8873,                0.85217,                0.89089,                0.50914,                 1.4974,                0.78823,                 1.3643,                0.00703,                0.00703,                0.00703
                     62,                 1.5372,                0.88844,                 1.2925,                0.89869,                0.85205,                0.90358,                 0.5205,                 1.4928,                0.77232,                 1.3906,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5539,                0.89807,                 1.2965,                 0.8943,                0.86372,                0.91366,                 0.5172,                 1.4804,                0.75754,                 1.3755,               0.006931,               0.006931,               0.006931
                     64,                 1.5392,                0.88266,                 1.2887,                0.90377,                0.86589,                0.92153,                0.53045,                 1.4772,                  0.748,                 1.3501,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.5296,                0.87658,                 1.2901,                0.88716,                0.88118,                0.91185,                 0.5139,                 1.4864,                0.76895,                  1.381,               0.006832,               0.006832,               0.006832
                     66,                 1.5226,                0.86047,                 1.2786,                0.89941,                0.87627,                0.90761,                0.52006,                 1.4979,                0.80185,                 1.3621,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.532,                0.87641,                 1.2863,                0.89326,                0.88894,                0.92359,                  0.529,                 1.4717,                0.71794,                 1.3615,               0.006733,               0.006733,               0.006733
                     68,                  1.523,                0.88025,                 1.2825,                0.88441,                0.85188,                0.90009,                0.51773,                 1.4758,                0.76757,                 1.3593,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.5123,                0.87303,                 1.2748,                0.89792,                 0.8834,                0.91076,                0.52663,                 1.4832,                 0.7535,                 1.3583,               0.006634,               0.006634,               0.006634
                     70,                 1.4956,                0.83385,                 1.2617,                  0.903,                0.87602,                0.91788,                0.52089,                 1.4731,                0.72104,                 1.3606,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.5018,                0.84542,                 1.2676,                0.90088,                0.86336,                  0.915,                0.52141,                 1.4903,                0.77828,                 1.3754,               0.006535,               0.006535,               0.006535
                     72,                 1.5005,                0.85195,                 1.2681,                0.87792,                0.86242,                0.90271,                0.51348,                 1.4926,                0.78455,                  1.372,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4684,                0.82859,                 1.2522,                0.87886,                 0.8637,                0.89446,                0.51594,                 1.4953,                0.75203,                 1.3553,               0.006436,               0.006436,               0.006436
                     74,                 1.4813,                0.82815,                 1.2602,                0.86316,                0.87929,                 0.9037,                0.53756,                 1.4618,                0.73796,                 1.3517,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4736,                0.83563,                 1.2593,                0.89976,                0.88392,                0.91762,                0.52975,                 1.4961,                0.72368,                 1.3773,               0.006337,               0.006337,               0.006337
                     76,                 1.4643,                0.83037,                 1.2424,                0.86287,                0.88304,                0.90247,                0.52193,                    1.5,                0.73154,                 1.3905,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.469,                0.82559,                 1.2567,                0.89925,                0.88122,                0.91801,                0.53387,                 1.4764,                0.70352,                 1.3729,               0.006238,               0.006238,               0.006238
                     78,                 1.4632,                0.83745,                 1.2426,                0.88156,                0.85933,                0.90411,                0.52504,                 1.4734,                0.73803,                 1.3659,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4523,                0.81784,                 1.2349,                0.88576,                0.86423,                0.90261,                0.52203,                 1.4602,                0.72662,                  1.365,               0.006139,               0.006139,               0.006139
                     80,                 1.4549,                0.81142,                 1.2431,                0.89534,                0.88098,                 0.9095,                0.53078,                 1.4624,                0.72009,                 1.3652,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4257,                0.80612,                 1.2329,                 0.8921,                0.88833,                0.91924,                0.53014,                 1.4783,                0.70921,                 1.3642,                0.00604,                0.00604,                0.00604
                     82,                 1.4255,                0.80246,                 1.2216,                0.88587,                0.88347,                0.91032,                0.52893,                 1.4658,                0.72388,                 1.3715,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4298,                0.79458,                 1.2222,                 0.8861,                 0.8862,                0.91453,                0.52386,                  1.476,                0.70143,                 1.3789,               0.005941,               0.005941,               0.005941
                     84,                 1.4223,                0.78304,                 1.2232,                0.90921,                 0.8927,                0.92092,                0.53745,                 1.4439,                0.70204,                 1.3413,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4147,                 0.7903,                 1.2174,                0.92679,                 0.8846,                0.92372,                0.53422,                 1.4479,                0.67792,                 1.3559,               0.005842,               0.005842,               0.005842
                     86,                 1.4302,                0.79285,                 1.2262,                0.87151,                0.90194,                0.92056,                0.53413,                 1.4679,                0.67282,                  1.379,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4191,                0.79187,                 1.2141,                0.89945,                 0.9088,                0.92304,                0.53413,                 1.4702,                0.67501,                 1.3666,               0.005743,               0.005743,               0.005743
                     88,                 1.3936,                  0.776,                 1.2031,                 0.9259,                 0.8773,                0.92038,                 0.5312,                 1.4666,                0.68621,                 1.3606,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4094,                0.78263,                 1.2135,                0.92163,                0.86733,                0.91162,                0.52438,                 1.4589,                0.69675,                 1.3461,               0.005644,               0.005644,               0.005644
                     90,                 1.3922,                 0.7555,                 1.2106,                0.91875,                0.87075,                 0.9156,                0.53286,                 1.4721,                0.69477,                   1.36,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.4022,                0.76768,                 1.2111,                 0.9203,                0.87022,                0.91372,                0.53705,                 1.4659,                0.67912,                 1.3602,               0.005545,               0.005545,               0.005545
                     92,                 1.4038,                 0.7746,                 1.2086,                0.92076,                0.88064,                0.91789,                 0.5407,                 1.4645,                0.67079,                 1.3537,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3538,                0.74581,                 1.1902,                0.91162,                0.89356,                0.93191,                0.53998,                 1.4666,                0.66173,                  1.363,               0.005446,               0.005446,               0.005446
                     94,                 1.3697,                0.74954,                 1.1862,                0.90944,                0.87462,                0.91741,                0.52921,                 1.4689,                0.67069,                 1.3656,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3857,                0.75616,                 1.1965,                0.89534,                0.88609,                0.92319,                0.53498,                 1.4551,                0.66095,                 1.3543,               0.005347,               0.005347,               0.005347
                     96,                 1.3644,                0.75213,                 1.1859,                 0.9044,                0.86911,                0.91937,                0.53755,                  1.461,                0.68127,                 1.3534,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.3658,                0.75693,                 1.1994,                0.90708,                0.88157,                0.92402,                0.53631,                 1.4624,                0.67678,                 1.3697,               0.005248,               0.005248,               0.005248
                     98,                 1.3607,                0.74909,                 1.1723,                0.92514,                0.84775,                0.91755,                0.53767,                 1.4634,                 0.6733,                 1.3681,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3541,                0.74032,                 1.1812,                0.88786,                0.90926,                0.91925,                0.53233,                 1.4706,                0.67728,                 1.3551,               0.005149,               0.005149,               0.005149
                    100,                 1.3373,                0.71418,                 1.1765,                0.91014,                0.90692,                 0.9279,                0.53481,                 1.4769,                0.68067,                 1.3677,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3429,                0.73544,                 1.1716,                0.90372,                0.90076,                0.92426,                0.53914,                 1.4575,                0.66316,                 1.3526,                0.00505,                0.00505,                0.00505
                    102,                 1.3429,                0.73218,                 1.1757,                  0.938,                0.88047,                0.92723,                0.54248,                 1.4504,                0.64964,                 1.3475,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3389,                0.73772,                 1.1697,                0.93504,                0.89611,                0.93061,                0.54953,                 1.4379,                0.64594,                 1.3491,               0.004951,               0.004951,               0.004951
                    104,                  1.329,                0.72398,                 1.1634,                0.93065,                0.89732,                 0.9324,                0.53737,                 1.4608,                0.66475,                 1.3615,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.3069,                0.71247,                 1.1666,                0.93289,                 0.8913,                0.92476,                0.53947,                  1.479,                0.66551,                 1.3668,               0.004852,               0.004852,               0.004852
                    106,                 1.2874,                0.69753,                 1.1476,                0.91384,                0.90526,                0.93364,                0.53911,                 1.4731,                0.65753,                 1.3676,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3161,                0.70719,                 1.1618,                0.90973,                0.91352,                0.92861,                0.54025,                 1.4657,                0.66052,                 1.3567,               0.004753,               0.004753,               0.004753
                    108,                 1.2919,                0.69959,                 1.1591,                0.92149,                 0.8995,                0.92432,                0.53596,                 1.4645,                0.66116,                 1.3537,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.2855,                0.69361,                  1.148,                0.91725,                0.89867,                0.91875,                0.53337,                 1.4799,                0.65868,                 1.3593,               0.004654,               0.004654,               0.004654
                    110,                 1.2727,                0.68888,                 1.1428,                  0.922,                0.89209,                 0.9198,                0.53981,                 1.4562,                0.64939,                  1.358,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.2899,                0.71288,                 1.1481,                0.92453,                0.89544,                0.92599,                0.54415,                 1.4371,                0.64816,                 1.3495,               0.004555,               0.004555,               0.004555
                    112,                 1.2752,                 0.6818,                 1.1421,                0.92164,                0.88326,                 0.9218,                0.54168,                 1.4404,                0.65001,                 1.3499,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2813,                0.69564,                  1.145,                0.91355,                0.88397,                0.91861,                0.54414,                 1.4496,                0.66245,                 1.3479,               0.004456,               0.004456,               0.004456
                    114,                 1.2857,                0.67505,                 1.1485,                0.90647,                  0.896,                0.92117,                0.54065,                 1.4529,                0.65325,                 1.3645,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.2608,                0.67662,                 1.1368,                0.90415,                 0.8984,                0.91774,                0.54002,                 1.4543,                   0.67,                 1.3639,               0.004357,               0.004357,               0.004357
                    116,                 1.2542,                 0.6685,                 1.1342,                0.91022,                  0.887,                0.91424,                0.54061,                 1.4528,                0.67231,                 1.3704,              0.0043075,              0.0043075,              0.0043075
